date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-05-31 09:30:00,260.0,262.24,258.45,262.15,1788076.0,0.2447,261.4505,50.6873,262.91476563596495,261.4505,259.986234364035
2023-05-31 09:45:00,262.2,263.38,261.934,262.02,917775.0,0.0611,261.4585,49.9166,262.7796582743946,261.4585,260.13734172560544
2023-05-31 10:00:00,262.11,263.94,260.121,262.24,1005822.0,0.0954,261.471,51.2373,262.80004084969323,261.471,260.1419591503068
2023-05-31 10:15:00,262.235,262.83,261.44,261.77,625805.0,-0.0115,261.4695,48.3691,262.77537804524087,261.4695,260.1636219547591
2023-05-31 10:30:00,261.75,263.371,261.75,262.64,640057.0,0.0915,261.4815,53.4468,262.7582617829214,261.4815,260.20473821707856
2023-05-31 10:45:00,262.64,263.97,262.54,263.28,554973.0,0.5807,261.5575,56.7412,262.850291322053,261.5575,260.264708677947
2023-05-31 11:00:00,263.28,264.07,262.9,263.565,623990.0,0.782,261.6598,58.1301,263.12084857764387,261.6598,260.19875142235617
2023-05-31 11:15:00,263.58,264.07,262.38,262.418,666472.0,0.4125,261.7137,51.1702,263.3263482973762,261.7137,260.1010517026238
2023-05-31 11:30:00,262.39,262.77,262.23,262.36,383154.0,0.2982,261.7526,50.8461,263.54995805986397,261.7526,259.955241940136
2023-05-31 11:45:00,262.37,262.89,262.03,262.51,451577.0,0.0686,261.7617,51.6792,263.6531839547069,261.7617,259.87021604529315
2023-05-31 12:00:00,262.57,262.82,262.2,262.473,365237.0,0.1423,261.7803,51.4527,263.7098832462296,261.7803,259.8507167537704
2023-05-31 12:15:00,262.45,262.509,261.51,261.631,412962.0,-0.1942,261.7548,46.5658,263.6774343875892,261.7548,259.8321656124108
2023-05-31 12:30:00,261.65,262.13,261.36,261.56,309268.0,0.1187,261.7704,46.1765,263.625635039737,261.7704,259.915164960263
2023-05-31 12:45:00,261.52,262.07,261.11,262.01,388307.0,0.387,261.8208,49.0199,263.5540146990546,261.8208,260.0875853009454
2023-05-31 13:00:00,262.021,262.507,261.89,262.345,249241.0,0.5153,261.8881,51.0465,263.4533292323312,261.8881,260.3228707676688
2023-05-31 13:15:00,262.36,262.7,262.19,262.6,302249.0,0.6516,261.9731,52.5576,263.4469592440873,261.9731,260.4992407559127
2023-05-31 13:30:00,262.58,263.83,262.58,263.451,366765.0,0.9971,262.1032,57.1988,263.494798111992,262.1032,260.71160188800803
2023-05-31 13:45:00,263.49,263.66,263.09,263.52,410353.0,1.237,262.2642,57.5532,263.65709018850356,262.2642,260.8713098114965
2023-05-31 14:00:00,263.49,263.776,263.04,263.775,386241.0,1.2183,262.4229,58.8778,263.81879835922115,262.4229,261.0270016407789
2023-05-31 14:15:00,263.79,263.938,263.35,263.74,290988.0,1.3839,262.6029,58.6135,264.0028053117649,262.6029,261.20299468823504
2023-05-31 14:30:00,263.74,263.85,263.36,263.56,252221.0,0.5379,262.6734,57.2231,264.0818133813153,262.6734,261.2649866186847
2023-05-31 14:45:00,263.559,263.62,262.65,263.093,334301.0,0.4095,262.727,53.7415,264.1426326922386,262.727,261.3113673077614
2023-05-31 15:00:00,263.1,263.16,261.88,262.16,425705.0,-0.0305,262.723,47.6451,264.0996359114831,262.723,261.3463640885169
2023-05-31 15:15:00,262.12,262.78,261.52,262.66,606359.0,0.34,262.7676,50.7939,263.8757993191798,262.7676,261.6594006808202
2023-05-31 15:30:00,262.69,263.75,262.67,263.34,687104.0,0.2665,262.8026,54.6947,263.46992765480445,262.8026,262.1352723451955
2023-05-31 15:45:00,263.34,265.0,263.32,264.78,2106495.0,0.5697,262.8776,61.4984,263.3338561864115,262.8776,262.42134381358846
2023-05-31 16:00:00,264.78,264.92,264.0,264.55,12843111.0,0.3737,262.9268,59.9838,263.38328491713156,262.9268,262.47031508286847
2023-05-31 16:15:00,264.47,264.88,264.42,264.7,1199538.0,0.8696,263.0409,60.6491,263.49453509052773,263.0409,262.5872649094723
2023-05-31 16:30:00,264.7,264.72,264.27,264.32,24879.0,0.7471,263.1389,58.0745,263.5836824884421,263.1389,262.69411751155786
2023-05-31 16:45:00,264.32,264.72,263.75,264.05,59050.0,0.5866,263.2159,56.2873,263.67204248316585,263.2159,262.7597575168341
2023-05-31 17:00:00,262.52,264.72,262.52,264.15,1960.0,0.6389,263.2998,56.8055,263.7554980379493,263.2998,262.84410196205073
2023-05-31 17:15:00,264.19,264.23,264.01,264.225,1509.0,0.9915,263.4295,57.2061,263.8411563320404,263.4295,263.01784366795965
2023-05-31 17:30:00,264.15,264.46,264.15,264.46,706.0,1.1087,263.5744,58.476,263.980752301604,263.5744,263.16804769839604
2023-05-31 17:45:00,264.15,264.46,264.15,264.43,1614.0,0.9236,263.6955,58.2437,264.9669512015532,263.6955,262.4240487984468
2023-05-31 18:00:00,264.3,264.72,264.27,264.48,4260.0,0.8138,263.8022,58.5327,265.6094761563468,263.8022,261.9949238436533
2023-05-31 18:15:00,264.475,264.68,264.17,264.57,1956.0,0.7502,263.9007,59.0694,265.97754687766155,263.9007,261.8238531223384
2023-05-31 18:30:00,264.34,264.67,264.17,264.42,1055.0,0.3678,263.9491,57.758,266.21573861567555,263.9491,261.6824613843244
2023-05-31 18:45:00,264.415,264.66,264.17,264.415,1907.0,0.3396,263.9939,57.713,266.37930294756643,263.9939,261.60849705243356
2023-05-31 19:00:00,264.66,264.66,264.17,264.435,1011.0,0.2502,264.0269,57.8511,266.49554380222395,264.0269,261.5582561977761
2023-05-31 19:15:00,264.46,264.66,264.23,264.45,2280.0,0.2692,264.0624,57.9596,266.50289919422147,264.0624,261.6219008057786
2023-05-31 19:30:00,264.535,264.66,264.42,264.635,3778.0,0.4079,264.1162,59.3181,266.5417373724323,264.1162,261.6906626275677
2023-05-31 19:45:00,264.585,265.0,264.32,264.95,6487.0,0.7058,264.209,61.5455,266.61977689063315,264.209,261.79822310936686
2023-06-01 04:00:00,265.0,265.0,263.56,263.81,2418.0,0.6294,264.2915,50.9242,266.69463522312446,264.2915,261.8883647768755
2023-06-01 04:15:00,263.67,264.17,263.67,264.17,1204.0,0.5749,264.367,53.5867,266.70737534727203,264.367,262.026624652728
2023-06-01 04:30:00,264.17,264.45,263.99,264.0,1090.0,0.2506,264.4,52.1795,266.6551155712741,264.4,262.14488442872585
2023-06-01 04:45:00,264.15,264.4,264.15,264.4,1550.0,-0.1435,264.381,55.0999,266.9189111996575,264.381,261.84308880034246
2023-06-01 05:00:00,264.4,264.4,264.04,264.31,1487.0,-0.0907,264.369,54.3143,267.0751323115762,264.369,261.66286768842383
2023-06-01 05:15:00,264.4,264.89,264.38,264.54,2258.0,-0.0604,264.361,56.0018,267.51086108206295,264.361,261.21113891793703
